"Election","Office","ReportingCountyName","NameonBallot","PoliticalParty","TotalVotes"
"2022 General Election","Secretary Of State","Wayne","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Wayne","David Wetterer (W/I)","Green","5"
"2022 General Election","Secretary Of State","Wayne","Destiny Wells","Democratic","5465"
"2022 General Election","Secretary Of State","Wayne","Diego Morales","Republican","10091"
"2022 General Election","Secretary Of State","Wayne","Jeffrey Maurer","Libertarian","988"
"2022 General Election","Secretary Of State","Wells","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Wells","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Wells","Destiny Wells","Democratic","1882"
"2022 General Election","Secretary Of State","Wells","Diego Morales","Republican","6797"
"2022 General Election","Secretary Of State","Wells","Jeffrey Maurer","Libertarian","389"
"2022 General Election","Secretary Of State","White","Andrew Straw (W/I)","Disability","1"
"2022 General Election","Secretary Of State","White","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","White","Destiny Wells","Democratic","1778"
"2022 General Election","Secretary Of State","White","Diego Morales","Republican","4626"
"2022 General Election","Secretary Of State","White","Jeffrey Maurer","Libertarian","281"
"2022 General Election","Secretary Of State","Whitley","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Whitley","David Wetterer (W/I)","Green","3"
"2022 General Election","Secretary Of State","Whitley","Destiny Wells","Democratic","2746"
"2022 General Election","Secretary Of State","Whitley","Diego Morales","Republican","8055"
"2022 General Election","Secretary Of State","Whitley","Jeffrey Maurer","Libertarian","632"
"2022 General Election","Treasurer Of State","Adams","Daniel Elliott","Republican","6916"
"2022 General Election","Treasurer Of State","Adams","Jessica Mcclellan","Democratic","1974"
"2022 General Election","Treasurer Of State","Allen","Daniel Elliott","Republican","59986"
"2022 General Election","Treasurer Of State","Allen","Jessica Mcclellan","Democratic","40594"
"2022 General Election","Treasurer Of State","Bartholomew","Daniel Elliott","Republican","14502"
"2022 General Election","Treasurer Of State","Bartholomew","Jessica Mcclellan","Democratic","7771"
"2022 General Election","Treasurer Of State","Benton","Daniel Elliott","Republican","1972"
"2022 General Election","Treasurer Of State","Benton","Jessica Mcclellan","Democratic","493"
"2022 General Election","Treasurer Of State","Blackford","Daniel Elliott","Republican","2487"
"2022 General Election","Treasurer Of State","Blackford","Jessica Mcclellan","Democratic","860"
"2022 General Election","Treasurer Of State","Boone","Daniel Elliott","Republican","15426"
"2022 General Election","Treasurer Of State","Boone","Jessica Mcclellan","Democratic","9141"
"2022 General Election","Treasurer Of State","Brown","Daniel Elliott","Republican","4040"
"2022 General Election","Treasurer Of State","Brown","Jessica Mcclellan","Democratic","2209"
"2022 General Election","Treasurer Of State","Carroll","Daniel Elliott","Republican","4778"
"2022 General Election","Treasurer Of State","Carroll","Jessica Mcclellan","Democratic","1424"
"2022 General Election","Treasurer Of State","Cass","Daniel Elliott","Republican","6251"
"2022 General Election","Treasurer Of State","Cass","Jessica Mcclellan","Democratic","2318"
"2022 General Election","Treasurer Of State","Clark","Daniel Elliott","Republican","22006"
"2022 General Election","Treasurer Of State","Clark","Jessica Mcclellan","Democratic","13793"
"2022 General Election","Treasurer Of State","Clay","Daniel Elliott","Republican","5888"
"2022 General Election","Treasurer Of State","Clay","Jessica Mcclellan","Democratic","1677"
"2022 General Election","Treasurer Of State","Clinton","Daniel Elliott","Republican","5567"
"2022 General Election","Treasurer Of State","Clinton","Jessica Mcclellan","Democratic","1669"
"2022 General Election","Treasurer Of State","Crawford","Daniel Elliott","Republican","2469"
"2022 General Election","Treasurer Of State","Crawford","Jessica Mcclellan","Democratic","1094"
"2022 General Election","Treasurer Of State","Daviess","Daniel Elliott","Republican","5779"
"2022 General Election","Treasurer Of State","Daviess","Jessica Mcclellan","Democratic","1135"
"2022 General Election","Treasurer Of State","Dearborn","Daniel Elliott","Republican","11532"
"2022 General Election","Treasurer Of State","Dearborn","Jessica Mcclellan","Democratic","2743"
"2022 General Election","Treasurer Of State","Decatur","Daniel Elliott","Republican","6418"
"2022 General Election","Treasurer Of State","Decatur","Jessica Mcclellan","Democratic","1533"
"2022 General Election","Treasurer Of State","Dekalb","Daniel Elliott","Republican","8645"
"2022 General Election","Treasurer Of State","Dekalb","Jessica Mcclellan","Democratic","2933"
"2022 General Election","Treasurer Of State","Delaware","Daniel Elliott","Republican","17513"
"2022 General Election","Treasurer Of State","Delaware","Jessica Mcclellan","Democratic","12305"
"2022 General Election","Treasurer Of State","Dubois","Daniel Elliott","Republican","9615"
"2022 General Election","Treasurer Of State","Dubois","Jessica Mcclellan","Democratic","3855"
"2022 General Election","Treasurer Of State","Elkhart","Daniel Elliott","Republican","31457"
"2022 General Election","Treasurer Of State","Elkhart","Jessica Mcclellan","Democratic","13074"
"2022 General Election","Treasurer Of State","Fayette","Daniel Elliott","Republican","4729"
"2022 General Election","Treasurer Of State","Fayette","Jessica Mcclellan","Democratic","1392"
"2022 General Election","Treasurer Of State","Floyd","Daniel Elliott","Republican","15806"
"2022 General Election","Treasurer Of State","Floyd","Jessica Mcclellan","Democratic","10885"
"2022 General Election","Treasurer Of State","Fountain","Daniel Elliott","Republican","3999"
"2022 General Election","Treasurer Of State","Fountain","Jessica Mcclellan","Democratic","976"
"2022 General Election","Treasurer Of State","Franklin","Daniel Elliott","Republican","5994"
"2022 General Election","Treasurer Of State","Franklin","Jessica Mcclellan","Democratic","1322"
"2022 General Election","Treasurer Of State","Fulton","Daniel Elliott","Republican","4188"
"2022 General Election","Treasurer Of State","Fulton","Jessica Mcclellan","Democratic","1297"
"2022 General Election","Treasurer Of State","Gibson","Daniel Elliott","Republican","7508"
"2022 General Election","Treasurer Of State","Gibson","Jessica Mcclellan","Democratic","2519"
"2022 General Election","Treasurer Of State","Grant","Daniel Elliott","Republican","11525"
"2022 General Election","Treasurer Of State","Grant","Jessica Mcclellan","Democratic","4129"
"2022 General Election","Treasurer Of State","Greene","Daniel Elliott","Republican","7045"
"2022 General Election","Treasurer Of State","Greene","Jessica Mcclellan","Democratic","2292"
"2022 General Election","Treasurer Of State","Hamilton","Daniel Elliott","Republican","75561"
"2022 General Election","Treasurer Of State","Hamilton","Jessica Mcclellan","Democratic","52363"
"2022 General Election","Treasurer Of State","Hancock","Daniel Elliott","Republican","16888"
"2022 General Election","Treasurer Of State","Hancock","Jessica Mcclellan","Democratic","6787"
"2022 General Election","Treasurer Of State","Harrison","Daniel Elliott","Republican","9986"
"2022 General Election","Treasurer Of State","Harrison","Jessica Mcclellan","Democratic","3668"
"2022 General Election","Treasurer Of State","Hendricks","Daniel Elliott","Republican","31703"
"2022 General Election","Treasurer Of State","Hendricks","Jessica Mcclellan","Democratic","16544"
"2022 General Election","Treasurer Of State","Henry","Daniel Elliott","Republican","9927"
"2022 General Election","Treasurer Of State","Henry","Jessica Mcclellan","Democratic","3501"
"2022 General Election","Treasurer Of State","Howard","Daniel Elliott","Republican","16987"
"2022 General Election","Treasurer Of State","Howard","Jessica Mcclellan","Democratic","7668"
"2022 General Election","Treasurer Of State","Huntington","Daniel Elliott","Republican","8557"
"2022 General Election","Treasurer Of State","Huntington","Jessica Mcclellan","Democratic","2691"
"2022 General Election","Treasurer Of State","Jackson","Daniel Elliott","Republican","8642"
"2022 General Election","Treasurer Of State","Jackson","Jessica Mcclellan","Democratic","2454"
"2022 General Election","Treasurer Of State","Jasper","Daniel Elliott","Republican","7229"
"2022 General Election","Treasurer Of State","Jasper","Jessica Mcclellan","Democratic","1980"
"2022 General Election","Treasurer Of State","Jay","Daniel Elliott","Republican","4063"
"2022 General Election","Treasurer Of State","Jay","Jessica Mcclellan","Democratic","1304"
"2022 General Election","Treasurer Of State","Jefferson","Daniel Elliott","Republican","6417"
"2022 General Election","Treasurer Of State","Jefferson","Jessica Mcclellan","Democratic","3274"
"2022 General Election","Treasurer Of State","Jennings","Daniel Elliott","Republican","6043"
"2022 General Election","Treasurer Of State","Jennings","Jessica Mcclellan","Democratic","1750"
"2022 General Election","Treasurer Of State","Johnson","Daniel Elliott","Republican","31229"
"2022 General Election","Treasurer Of State","Johnson","Jessica Mcclellan","Democratic","13297"
"2022 General Election","Treasurer Of State","Knox","Daniel Elliott","Republican","7380"
"2022 General Election","Treasurer Of State","Knox","Jessica Mcclellan","Democratic","2605"
"2022 General Election","Treasurer Of State","Kosciusko","Daniel Elliott","Republican","18043"
"2022 General Election","Treasurer Of State","Kosciusko","Jessica Mcclellan","Democratic","4381"
"2022 General Election","Treasurer Of State","Lagrange","Daniel Elliott","Republican","5223"
"2022 General Election","Treasurer Of State","Lagrange","Jessica Mcclellan","Democratic","1324"
"2022 General Election","Treasurer Of State","Lake","Daniel Elliott","Republican","60489"
"2022 General Election","Treasurer Of State","Lake","Jessica Mcclellan","Democratic","71475"
"2022 General Election","Treasurer Of State","Laporte","Daniel Elliott","Republican","17667"
"2022 General Election","Treasurer Of State","Laporte","Jessica Mcclellan","Democratic","13965"
"2022 General Election","Treasurer Of State","Lawrence","Daniel Elliott","Republican","9820"
"2022 General Election","Treasurer Of State","Lawrence","Jessica Mcclellan","Democratic","2778"
"2022 General Election","Treasurer Of State","Madison","Daniel Elliott","Republican","22412"
"2022 General Election","Treasurer Of State","Madison","Jessica Mcclellan","Democratic","13186"
"2022 General Election","Treasurer Of State","Marion","Daniel Elliott","Republican","84799"
"2022 General Election","Treasurer Of State","Marion","Jessica Mcclellan","Democratic","137724"
"2022 General Election","Treasurer Of State","Marshall","Daniel Elliott","Republican","9452"
"2022 General Election","Treasurer Of State","Marshall","Jessica Mcclellan","Democratic","3199"
"2022 General Election","Treasurer Of State","Martin","Daniel Elliott","Republican","2608"
"2022 General Election","Treasurer Of State","Martin","Jessica Mcclellan","Democratic","798"
"2022 General Election","Treasurer Of State","Miami","Daniel Elliott","Republican","6638"
"2022 General Election","Treasurer Of State","Miami","Jessica Mcclellan","Democratic","1827"
"2022 General Election","Treasurer Of State","Monroe","Daniel Elliott","Republican","14633"
"2022 General Election","Treasurer Of State","Monroe","Jessica Mcclellan","Democratic","25038"
"2022 General Election","Treasurer Of State","Montgomery","Daniel Elliott","Republican","7419"
"2022 General Election","Treasurer Of State","Montgomery","Jessica Mcclellan","Democratic","2206"
"2022 General Election","Treasurer Of State","Morgan","Daniel Elliott","Republican","16467"
"2022 General Election","Treasurer Of State","Morgan","Jessica Mcclellan","Democratic","4584"
"2022 General Election","Treasurer Of State","Newton","Daniel Elliott","Republican","3104"
"2022 General Election","Treasurer Of State","Newton","Jessica Mcclellan","Democratic","860"
"2022 General Election","Treasurer Of State","Noble","Daniel Elliott","Republican","8823"
"2022 General Election","Treasurer Of State","Noble","Jessica Mcclellan","Democratic","2583"
"2022 General Election","Treasurer Of State","Ohio","Daniel Elliott","Republican","1495"
"2022 General Election","Treasurer Of State","Ohio","Jessica Mcclellan","Democratic","450"
"2022 General Election","Treasurer Of State","Orange","Daniel Elliott","Republican","4098"
"2022 General Election","Treasurer Of State","Orange","Jessica Mcclellan","Democratic","1255"
"2022 General Election","Treasurer Of State","Owen","Daniel Elliott","Republican","4518"
"2022 General Election","Treasurer Of State","Owen","Jessica Mcclellan","Democratic","1580"
"2022 General Election","Treasurer Of State","Parke","Daniel Elliott","Republican","3471"
"2022 General Election","Treasurer Of State","Parke","Jessica Mcclellan","Democratic","974"
"2022 General Election","Treasurer Of State","Perry","Daniel Elliott","Republican","3664"
"2022 General Election","Treasurer Of State","Perry","Jessica Mcclellan","Democratic","2492"
"2022 General Election","Treasurer Of State","Pike","Daniel Elliott","Republican","2744"
"2022 General Election","Treasurer Of State","Pike","Jessica Mcclellan","Democratic","887"
"2022 General Election","Treasurer Of State","Porter","Daniel Elliott","Republican","31559"
"2022 General Election","Treasurer Of State","Porter","Jessica Mcclellan","Democratic","26190"
"2022 General Election","Treasurer Of State","Posey","Daniel Elliott","Republican","6102"
"2022 General Election","Treasurer Of State","Posey","Jessica Mcclellan","Democratic","2352"
"2022 General Election","Treasurer Of State","Pulaski","Daniel Elliott","Republican","2856"
"2022 General Election","Treasurer Of State","Pulaski","Jessica Mcclellan","Democratic","831"
"2022 General Election","Treasurer Of State","Putnam","Daniel Elliott","Republican","7499"
"2022 General Election","Treasurer Of State","Putnam","Jessica Mcclellan","Democratic","2359"
"2022 General Election","Treasurer Of State","Randolph","Daniel Elliott","Republican","5301"
"2022 General Election","Treasurer Of State","Randolph","Jessica Mcclellan","Democratic","1530"
"2022 General Election","Treasurer Of State","Ripley","Daniel Elliott","Republican","6731"
"2022 General Election","Treasurer Of State","Ripley","Jessica Mcclellan","Democratic","1600"
"2022 General Election","Treasurer Of State","Rush","Daniel Elliott","Republican","3816"
"2022 General Election","Treasurer Of State","Rush","Jessica Mcclellan","Democratic","998"
"2022 General Election","Treasurer Of State","Scott","Daniel Elliott","Republican","4468"
"2022 General Election","Treasurer Of State","Scott","Jessica Mcclellan","Democratic","2226"
"2022 General Election","Treasurer Of State","Shelby","Daniel Elliott","Republican","8621"
"2022 General Election","Treasurer Of State","Shelby","Jessica Mcclellan","Democratic","2799"
"2022 General Election","Treasurer Of State","Spencer","Daniel Elliott","Republican","5210"
"2022 General Election","Treasurer Of State","Spencer","Jessica Mcclellan","Democratic","2307"
"2022 General Election","Treasurer Of State","St. Joseph","Daniel Elliott","Republican","36474"
"2022 General Election","Treasurer Of State","St. Joseph","Jessica Mcclellan","Democratic","34451"
"2022 General Election","Treasurer Of State","Starke","Daniel Elliott","Republican","4908"
"2022 General Election","Treasurer Of State","Starke","Jessica Mcclellan","Democratic","1870"
"2022 General Election","Treasurer Of State","Steuben","Daniel Elliott","Republican","7004"
"2022 General Election","Treasurer Of State","Steuben","Jessica Mcclellan","Democratic","2576"
"2022 General Election","Treasurer Of State","Sullivan","Daniel Elliott","Republican","4386"
"2022 General Election","Treasurer Of State","Sullivan","Jessica Mcclellan","Democratic","1814"
"2022 General Election","Treasurer Of State","Switzerland","Daniel Elliott","Republican","1941"
"2022 General Election","Treasurer Of State","Switzerland","Jessica Mcclellan","Democratic","685"
"2022 General Election","Treasurer Of State","Tippecanoe","Daniel Elliott","Republican","20105"
"2022 General Election","Treasurer Of State","Tippecanoe","Jessica Mcclellan","Democratic","18210"
"2022 General Election","Treasurer Of State","Tipton","Daniel Elliott","Republican","3892"
"2022 General Election","Treasurer Of State","Tipton","Jessica Mcclellan","Democratic","1274"
"2022 General Election","Treasurer Of State","Union","Daniel Elliott","Republican","1905"
"2022 General Election","Treasurer Of State","Union","Jessica Mcclellan","Democratic","540"
"2022 General Election","Treasurer Of State","Vanderburgh","Daniel Elliott","Republican","26391"
"2022 General Election","Treasurer Of State","Vanderburgh","Jessica Mcclellan","Democratic","19417"
"2022 General Election","Treasurer Of State","Vermillion","Daniel Elliott","Republican","3247"
"2022 General Election","Treasurer Of State","Vermillion","Jessica Mcclellan","Democratic","1728"
"2022 General Election","Treasurer Of State","Vigo","Daniel Elliott","Republican","14780"
"2022 General Election","Treasurer Of State","Vigo","Jessica Mcclellan","Democratic","11689"
"2022 General Election","Treasurer Of State","Wabash","Daniel Elliott","Republican","7546"
"2022 General Election","Treasurer Of State","Wabash","Jessica Mcclellan","Democratic","2137"
"2022 General Election","Treasurer Of State","Warren","Daniel Elliott","Republican","2225"
"2022 General Election","Treasurer Of State","Warren","Jessica Mcclellan","Democratic","569"
"2022 General Election","Treasurer Of State","Warrick","Daniel Elliott","Republican","13435"
"2022 General Election","Treasurer Of State","Warrick","Jessica Mcclellan","Democratic","6499"
"2022 General Election","Treasurer Of State","Washington","Daniel Elliott","Republican","6062"
"2022 General Election","Treasurer Of State","Washington","Jessica Mcclellan","Democratic","1830"
"2022 General Election","Treasurer Of State","Wayne","Daniel Elliott","Republican","11088"
"2022 General Election","Treasurer Of State","Wayne","Jessica Mcclellan","Democratic","5355"
"2022 General Election","Treasurer Of State","Wells","Daniel Elliott","Republican","7309"
"2022 General Election","Treasurer Of State","Wells","Jessica Mcclellan","Democratic","1741"
"2022 General Election","Treasurer Of State","White","Daniel Elliott","Republican","5047"
"2022 General Election","Treasurer Of State","White","Jessica Mcclellan","Democratic","1658"
"2022 General Election","Treasurer Of State","Whitley","Daniel Elliott","Republican","8786"
"2022 General Election","Treasurer Of State","Whitley","Jessica Mcclellan","Democratic","2607"
